Scientific name,Common name,Group,Wt in kg,Axial (mm),Reference for axial length,Reference for weight,Quality
Homo sapiens,Human,Primates,72.3416,24.521,Hughes (1977),Hughes (1977),Group 3
Macaca mulatta,Rhesus macaque,Primates,9.25,17.599,Hughes (1979),Grzimek (1990),Group 3
Macaca sylvanus,Barbary macaque,Primates,6,19.176,Andersen (1971),Grzimek (1990),Group 3
Pan troglodytes,Chimpanzee,Primates,51.5,19,Rochon-DuVigneaud (1943),Grzimek (1990),Group 3
Papio cynocephalus,Yellow baboon,Primates,19.51,19.75,Note 30,Altman (1962),Group 6
Tupaia belangeri,Tree shrew,Primates,0.115,8.07,Norton (1992),Grzimek (1990),Group 3
Alligator mississippiensis,Alligator,Reptiles,24.5,15,Rochon-DuVigneaud (1943),Bellairs (1970),Group 6
Amblyrhynchus cristatus,Marine iguana,Reptiles,4.19,8.532,Note 30,Altman (1962),Group 6
Ancistrodon piscivorus,Water moccasin,Reptiles,0.728,7.098,Note 30,Altman (1962),Group 6
Boa c. imperator,Boa constrictor,Reptiles,1.829,6.858,Note 30,Altman (1962),Group 3
Chelonia mydas,Green sea turtle,Reptiles,17.46,12.51,Northmore (1991),Note 2,Group 4
Chelonia mydas,Green sea turtle,Reptiles,91.17,29.425,Note 30,Altman (1962),Group 6
Chelydra serpentina,Snapping turtle,Reptiles,5.125,7.501,Note 30,Altman (1962),Group 6
Clemmys guttata,Spotted turtle,Reptiles,2.163,9.248,Note 30,Altman (1962),Group 6
Coluber constrictor,Eastern racer,Reptiles,0.3948,4.83,Note 30,Altman (1962),Group 6
Crocodylus spp.,Crocodiles,Reptiles,32.21,21,Rochon-DuVigneaud (1943),"Bellairs (1970), Note 4",Group 3
Iguana iguana,Green iguana,Reptiles,0.75,12.38,"Murphy, Note 14","Murphy, Note 14",Group 1
Macrochelys lacertina,Alligator snapping turtle,Reptiles,1.848,8.917,Note 30,Altman (1962),Group 3
Natrix natrix,Grass snake,Reptiles,0.023,4,Rochon-DuVigneaud (1943),Note 11,Group 3
Phrynosoma cornutum,Texas horned lizard,Reptiles,0.025,5.811,Note 30,Altman (1962),Group 3
Pseudemys scripta,Red-eared slider,Reptiles,10.45,7.72,Northmore (1991),Note 2,Group 2
Python molurus,Burmese python,Reptiles,116.48,7,Rochon-DuVigneaud (1943),Note 12,Group 6
Tarentola mauritanica,Wall gecko,Reptiles,0.03,4.5,Rochon-DuVigneaud (1943),"Bellairs (1970), Note 5",Group 3
Thamnophis melanogaster,Mexican garter snake,Reptiles,0.02,3.5,Schaeffel (Note 15),Calculations (Note 17),Group 3
Thamnophis sirtalis,Common garter snake,Reptiles,0.0184,3.13,"Schaeffel, Note 15",Note 17,Group 3
Blarina brevicauda,Short-tailed shrew,Rodents,0.0106,1.368,Hughes (1977),Hughes (1977),Group 3
Citellus citellus,Active European ground,Rodents,0.186,8.45,"Murphy, Note 14","Murphy, Note 14",Group 1
Citellus citellus,European ground squirrel,Rodents,0.3159,8.939,Hughes (1977),Hughes (1977),Group 3
Citellus citellus,Hibernating Eur. ground,Rodents,0.096,8.1,"Murphy, Note 14","Murphy, Note 14",Group 1
Citellus citellus,Hibernating Eur. ground,Rodents,0.141,8.15,"Murphy, Note 14","Murphy, Note 14",Group 1
Citellus citellus,Hibernating Eur. ground,Rodents,0.156,8.65,"Murphy, Note 14","Murphy, Note 14",Group 1
Citellus parryi,Arctic ground squirrel,Rodents,0.918,10.083,Note 30,Altman (1962),Group 6
Cricetus cricetus,Common hamster,Rodents,0.1075,4.992,Note 30,Altman (1962),Group 6
Dicrostonyx rubricatus,Bering collared lemming,Rodents,0.0521,4.4,Note 30,Altman (1962),Group 6
Erethizon dorsatum,North American porcupine,Rodents,2.8,11.791,Note 30,Altman (1962),Group 6
Graphiurus murinus,African dormouse,Rodents,0.0177,3.127,Note 30,Altman (1962),Group 6
Hystrix cristata,N. African crested porcupine,Rodents,17.5,11.28,Andersen (1971),Grzimek (1990),Group 3
Lemmus trimucronatus,Brown lemming,Rodents,0.0386,2.403,Note 30,Altman (1962),Group 6
Marmota caligata,Hoary marmot,Rodents,5.4558,12.899,Hughes (1977),Hughes (1977),Group 3
Marmota marmota,Alpine marmot,Rodents,4.71,14.664,Andersen (1971),Grzimek (1990),Group 3
Mastomys coucha,Multimammate mouse,Rodents,0.218,3.532,Note 30,Altman (1962),Group 6
Meles meles,Eurasian badger,Rodents,10.1842,10.052,Hughes (1977),Hughes (1977),Group 3
Microtus drummondi,Meadow mouse,Rodents,0.0233,2.408,Note 30,Altman (1962),Group 6
Microtus pennsylvanicus,Meadow vole,Rodents,0.0458,2.765,Hughes (1977),Hughes (1977),Group 3
Microtus pennsylvanicus,Meadow vole,Rodents,0.0266,2.487,Note 30,Altman (1962),Group 6
Mus musculus,House mouse,Rodents,0.0331,5.281,Note 30,Altman (1962),Group 6
Ondatra zibethicus,Muskrat,Rodents,0.9,10.326,Note 30,Altman (1962),Group 6
Oryctolagus cuniculus,European rabbit,Rodents,2.7158,18.074,Hughes (1977),Hughes (1977),Group 3
Procyon lotor,Raccoon,Rodents,11.9,12.634,Andersen (1971),Grzimek (1990),Group 3
Procyon lotor,Raccoon,Rodents,11.9,7.5,"Miller, Note 16",Grzimek (1990),Group 2
Rattus norvegicus,Norway rat,Rodents,0.278,5.579,Note 30,Altman (1962),Group 6
Sciurus carolinensis,Easetern grey squirrel,Rodents,0.0656,8.809,Hughes (1977),Hughes (1977),Group 3
Sorex palustris,Water shrew,Rodents,0.0204,1.489,Hughes (1977),Hughes (1977),Group 3
Tamias striatus,Eastern chipmunk,Rodents,0.075,6.883,Note 30,Altman (1962),Group 6
Unknown,Rat,Rodents,0.3579,6.417,Hughes (1977),Hughes (1977),Group 3
Zapus hudsonicus,Meadow jumping mouse,Rodents,0.0173,2.498,Note 30,Altman (1962),Group 6
